name                    |obsid      |ra         |dec        |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
ASASSN-15lh             |00033886052|22 02 12.49|-61 39 03.2|2016-08-22T08:26:55|2016-09-02T00:00:00|  3577.90500|   3524.89700|  3602.00000|  2016-09-02| 0.6310
ASASSN-15lh             |00033886012|22 02 22.28|-61 39 01.2|2016-02-29T05:43:57|2016-03-10T00:00:00|  3912.55300|   3760.11800|  3949.00000|  2016-03-11| 0.9842
ASASSN-15lh             |00033874005| 22 02 10.9|-61 38 59.6|2015-08-14T08:36:57|2015-08-24T00:00:00|  4781.08100|   4682.27100|  4806.00000|  2015-08-25| 0.8625
ASASSN-15lh             |00033874008|22 02 11.39|-61 38 59.4|2015-09-12T06:38:58|2015-09-22T00:00:00|  4220.33900|   4149.80000|  4242.00000|  2015-09-23| 0.7593
ASASSN-15lh             |00033830066|22 02 34.90|-61 38 58.9|2016-03-03T03:47:58|2016-03-13T00:00:00|   969.77700|    946.11700|   977.00000|  2016-03-14| 2.3840
ASASSN-15lh             |00033886035|22 02 38.33|-61 38 58.6|2016-06-13T12:13:57|2016-06-23T00:00:00|  2647.54900|   2573.99200|  2668.00000|  2016-06-24| 2.7814
ASASSN-15lh             |00033886010|22 02 30.92|-61 38 57.1|2016-01-06T07:48:58|2016-01-16T00:00:00|  3298.94200|   3171.24600|  3328.00000|  2016-01-17| 1.9401
ASASSN-15lh             |00033886037|22 02 30.43|-61 38 56.7|2016-06-18T03:55:57|2016-06-28T00:00:00|  4879.48500|   4732.47100|  4918.00000|  2016-06-29| 1.8870
ASASSN-15lh             |00033886076|22 02 15.56|-61 38 55.9|2017-02-09T01:11:57|2017-02-19T00:00:00|  2335.43400|   2210.12600|  2370.00000|  2017-02-20| 0.6452
ASASSN-15lh             |00033886062|22 01 59.42|-61 38 54.2|2016-10-19T03:56:58|2016-10-30T00:00:00|   618.98600|    588.50700|   629.00000|  2016-10-30| 2.0182
ASASSN-15lh             |00033886054|22 01 54.85|-61 38 53.8|2016-08-26T16:10:58|2016-09-05T00:00:00|  1614.69400|   1578.23700|  1627.00000|  2016-09-06| 2.5372
ASASSN-15lh             |00033886002|22 02 10.12|-61 38 53.5|2015-09-07T10:09:58|2015-09-17T00:00:00|  2746.11200|   2674.85500|  2769.00000|  2015-09-18| 0.9323
ASASSN-15lh             |00033874002|22 02 25.68|-61 38 53.3|2015-07-11T15:12:58|2015-07-21T00:00:00|  1857.89900|   1805.57100|  1939.00000|  2015-07-22| 1.3966
