name                 |obsid      |ra         |dec       |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
SwiftJ164449.3+573451|00032200073|16 44 52.75|57 34 33.1|2012-02-17T03:26:00|2017-04-15T00:00:00|  2993.65100|   3048.13100|  3078.00000|  2012-02-28| 0.5671
SwiftJ164449.3+573451|00032200210|16 44 41.36|57 34 33.5|2012-07-13T15:13:59|2017-05-02T00:00:00|  1070.61300|   1068.57100|  1076.00000|  2012-07-24| 1.0937
SwiftJ164449.3+573451|00032526016|16 44 55.80|57 34 33.7|2012-08-31T13:07:58|2017-05-07T00:00:00|  1070.60400|   1069.42100|  1084.00000|  2012-09-11| 0.9336
GRB 110328A          |00450158002|16 44 40.44|57 34 34.0|2011-03-29T16:48:00|2016-09-06T00:00:00|   820.02100|    802.92100|   512.00000|  2011-04-09| 1.2102
SwiftJ164449.3+573   |00031955034|16 44 54.32|57 34 34.2|2011-05-02T00:06:00|2016-09-13T00:00:00| 11281.74700|  11210.26200| 11414.00000|  2011-05-13| 0.7454
SwiftJ164449.3+573451|00033765100|16 44 59.42|57 34 34.8|2017-03-31T22:17:57|2017-04-10T00:00:00|  1323.98300|   1320.95000|  1336.00000|  2017-04-11| 1.3981
SwiftJ164449.3+573451|00032200109|16 44 33.38|57 34 35.7|2012-03-26T01:10:00|2017-04-16T00:00:00|   443.20100|    442.34300|     0.00000|  2012-04-06| 2.1371
SwiftJ164449.3+573451|00032526225|16 44 35.68|57 34 35.7|2014-09-19T13:20:58|2018-03-03T00:00:00|  1683.03200|   1683.31400|  1690.00000|  2014-09-30| 1.8308
SwiftJ164449.3+573   |00031955074| 16 44 48.0|57 34 36.0|2011-06-08T06:44:00|2016-09-15T00:00:00|   827.40300|    826.30000|   844.00000|  2011-06-19| 0.3065
SwiftJ164449.3+573451|00032526198|16 45 01.41|57 34 36.0|2014-03-14T17:35:59|2018-02-01T00:00:00|  1802.73600|   1800.13100|  1815.00000|  2014-03-25| 1.6569
SwiftJ164449.3+573451|00033765214|16 44 29.98|57 34 36.2|2019-07-26T03:12:35|2019-08-05T00:00:00|  1504.38400|   1504.16200|  1512.00000|  2019-08-06| 2.5889
SwiftJ164449.3+573451|00033765178|16 44 33.73|57 34 36.8|2018-10-27T06:33:57|2018-11-07T00:00:00|  1943.55000|   1941.98100|  1956.00000|  2018-11-07| 2.0876
SwiftJ164449.3+573451|00033765113|16 44 43.62|57 34 37.2|2017-06-30T22:11:57|2017-07-10T00:00:00|  1669.85000|   1666.07000|  1681.00000|  2017-07-11| 0.7857
SwiftJ164449.3+573451|00032200229|16 44 36.59|57 34 37.2|2012-08-06T05:38:59|2017-05-04T00:00:00|   992.89000|    992.36700|  1000.00000|  2012-08-17| 1.7076
SwiftJ164449.3+573   |00031955163|16 44 36.95|57 34 37.3|2011-09-05T00:46:59|2016-09-29T00:00:00|  3379.10400|   3556.21900|  3619.00000|  2011-09-16| 1.6593
SwiftJ164449.3+573451|00032200201|16 44 38.57|57 34 37.5|2012-07-03T08:21:59|2017-05-02T00:00:00|  1007.93300|   1007.51500|  1015.00000|  2012-07-14| 1.4442
SwiftJ164449.3+573451|00032200038|16 44 49.86|57 34 37.6|2012-01-13T18:49:00|2017-04-13T00:00:00|  2432.56500|   2431.76600|  2453.00000|  2012-01-24| 0.2494
SwiftJ164449.3+573451|00033765099| 16 45 00.4|57 34 37.7|2017-03-17T08:39:57|2017-03-27T00:00:00|  1539.49400|   1536.87500|  1551.00000|  2017-03-28| 1.4707
SwiftJ164449.3+573451|00033765131|16 44 40.30|57 34 38.0|2017-11-03T21:22:57|2017-11-13T00:00:00|  1549.51500|   1548.86700|  1556.00000|  2017-11-14| 1.2138
SwiftJ164449.3+573451|00032200098|16 44 43.84|57 34 38.3|2012-03-15T19:45:00|2017-04-16T00:00:00|  3094.29800|   3091.82100|  3114.00000|  2012-03-26| 0.7515
SwiftJ164449.3+573451|00032526010|16 45 02.14|57 34 38.5|2012-08-25T04:49:59|2017-05-05T00:00:00|   970.32000|    969.98100|   977.00000|  2012-09-05| 1.7486
