name        |obsid      |ra         |dec       |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
ASASSN-14LI |00095140007|12 47 59.93|17 46 19.2|2019-05-07T02:32:35|2019-05-17T00:00:00|  2133.70000|   2056.55700|  2150.00000|  2019-05-18| 3.6457
ASASSN-14LI |00095140008|12 48 05.91|17 46 21.9|2019-05-13T13:08:36|2019-05-23T00:00:00|  2071.00500|   2027.13300|  2084.00000|  2019-05-24| 2.2207
BRUTUS6984_2|00033539077|12 48 16.15|17 46 24.5|2015-12-16T05:01:57|2015-12-26T00:00:00|  2216.44500|   2179.04600|  2227.00000|  2015-12-27| 0.2215
BRUTUS6984_2|00033539052|12 48 04.85|17 46 29.0|2015-05-14T08:18:59|2015-05-24T00:00:00|  1669.89500|   1618.14300|  1691.00000|  2015-05-25| 2.4727
BRUTUS6984_2|00033539070|12 48 16.99|17 46 29.2|2015-11-25T19:15:58|2015-12-05T00:00:00|  2164.96100|   2128.12800|  2177.00000|  2015-12-06| 0.4218
BRUTUS6984_2|00033539037|12 48 12.90|17 46 29.5|2015-03-27T18:20:05|2015-04-06T00:00:00|  2231.10200|   2178.59300|  2269.00000|  2015-04-07| 0.5571
BRUTUS6984_2|00033539013|12 48 21.82|17 46 29.9|2015-01-03T22:01:09|2015-01-13T00:00:00|    91.66000|      0.00000|     3.00000|  2015-01-14| 1.5692
ASASSN-14LI |00094094007| 12 48 03.7|17 46 30.1|2018-04-15T22:28:57|2018-04-25T00:00:00|  1599.65900|   1588.23300|  1606.00000|  2018-04-26| 2.8951
BRUTUS6984_2|00033539085|12 48 19.77|17 46 31.5|2016-02-04T23:58:57|2016-02-15T00:00:00|   686.97500|    788.34600|   835.00000|  2016-02-15| 1.0829
BRUTUS6984_2|00033539007|12 48 21.17|17 46 32.4|2014-12-16T06:04:59|2018-03-22T00:00:00|  2955.54100|   2903.07000|  2966.00000|  2014-12-27| 1.4165
BRUTUS6984_2|00033539027|12 48 17.85|17 46 32.8|2015-02-18T16:43:59|2015-02-28T00:00:00|  2492.25500|   2445.50100|  2504.00000|  2015-03-01| 0.6315
ASASSN-14LI |00094094015|12 48 02.71|17 46 34.5|2018-04-16T22:34:57|2018-04-26T00:00:00|   972.82800|    960.21700|   977.00000|  2018-04-27| 2.9850
ASASSN-14LI |00094094017|12 47 58.87|17 46 39.3|2018-04-17T03:05:57|2018-04-27T00:00:00|  1647.30000|   1632.17700|  1653.00000|  2018-04-28| 3.9018
BRUTUS6984_2|00033539056|12 48 03.45|17 46 39.5|2015-06-09T02:10:59|2015-06-19T00:00:00|  1139.05300|   1055.77300|   947.00000|  2015-06-20| 2.8129
BRUTUS6984_2|00033539047| 12 48 07.2|17 46 39.6|2015-04-24T02:41:58|2015-05-04T00:00:00|  1448.29700|   1411.18700|  1460.00000|  2015-05-05| 1.9680
BRUTUS6984_2|00033539062|12 48 00.75|17 46 41.9|2015-06-30T18:20:59|2015-07-10T00:00:00|  1841.92900|   1808.81400|  1856.00000|  2015-07-11| 3.4573
BRUTUS6984_2|00033539011|12 48 18.95|17 46 42.4|2014-12-28T12:06:59|2018-03-19T00:00:00|  3179.39600|   3106.35100|  3198.00000|  2015-01-08| 0.9251
ASASSN-14LI |00094094019|12 48 08.85|17 46 44.9|2018-04-17T09:26:56|2018-04-27T00:00:00|  1697.44700|   1683.86600|  1702.00000|  2018-04-28| 1.5501
BRUTUS6984_2|00033539005|12 48 17.94|17 46 45.1|2014-12-10T14:15:59|2018-03-18T00:00:00|  2903.44500|   2850.61800|  2916.00000|  2014-12-21| 0.7152
ASASSN-14LI |00094094018|12 48 07.74|17 46 46.5|2018-04-17T06:18:57|2018-04-27T00:00:00|  1697.44700|   1684.31800|  1703.00000|  2018-04-28| 1.8152
BRUTUS6984_2|00033539017|12 48 22.23|17 46 47.2|2015-01-17T00:36:59|2015-01-27T00:00:00|  2807.74200|   2732.35900|  2827.00000|  2015-01-28| 1.7012
BRUTUS6984_2|00033539059|12 48 01.85|17 46 49.6|2015-06-18T19:16:58|2015-06-28T00:00:00|  2168.81700|   2133.06000|  2181.00000|  2015-06-29| 3.2094
BRUTUS6984_2|00033539012|12 48 23.92|17 46 50.8|2014-12-31T16:55:59|2018-03-19T00:00:00|  2775.69200|   2722.82400|  2788.00000|  2015-01-11| 2.1072
BRUTUS6984_2|00033539084|12 48 15.25|17 46 51.1|2016-01-30T11:33:58|2016-02-09T00:00:00|  2131.90600|   2061.79900|  2158.00000|  2016-02-10| 0.4104
BRUTUS6984_2|00033539092|12 47 59.39|17 46 55.5|2016-05-14T11:58:58|2016-05-24T00:00:00|  2351.84300|   2301.44600|  2367.00000|  2016-05-25| 3.8030
BRUTUS6984_2|00033539086|12 48 20.33|17 46 55.9|2016-02-08T11:05:58|2016-02-18T00:00:00|   421.21900|    402.02800|   427.00000|  2016-02-19| 1.3104
BRUTUS6984_2|00033539065|12 48 01.81|17 46 58.4|2015-08-02T08:33:58|2015-08-12T00:00:00|  2359.37700|   2306.48700|  2380.00000|  2015-08-13| 3.2392
BRUTUS6984_2|00033539001|12 48 11.83|17 46 59.2|2014-11-30T10:05:59|2018-03-18T00:00:00|  2963.69200|   2932.25100|  3001.00000|  2014-12-11| 0.9763
BRUTUS6984_2|00033539080|12 48 15.93|17 47 01.9|2015-12-27T04:45:22|2016-01-06T00:00:00|   536.55600|    525.06700|   543.00000|  2016-01-07| 0.6143
BRUTUS6984_2|00033539016|12 48 21.57|17 47 02.2|2015-01-14T00:56:12|2015-01-24T00:00:00|  2083.55700|   2017.04800|  2103.00000|  2015-01-25| 1.6216
BRUTUS6984_2|00033539014|12 48 20.19|17 47 04.2|2015-01-07T07:26:59|2015-01-17T00:00:00|  3788.82500|   3714.78400|  3193.00000|  2015-01-18| 1.3367
BRUTUS6984_2|00033539009|12 48 23.39|17 47 04.4|2014-12-22T01:18:59|2018-03-19T00:00:00|  3134.12900|   3084.13100|  3147.00000|  2015-01-02| 2.0418
BRUTUS6984_2|00033539058|12 48 02.59|17 47 04.8|2015-06-15T11:30:44|2015-06-25T00:00:00|   178.01000|    175.86500|   186.00000|  2015-06-26| 3.0771
BRUTUS6984_2|00033539020|12 48 13.90|17 47 10.1|2015-01-26T17:55:59|2015-02-05T00:00:00|  2497.24000|   2428.05900|  2519.00000|  2015-02-06| 0.7933
BRUTUS6984_2|00033539015|12 48 25.61|17 47 10.1|2015-01-11T00:49:59|2015-01-21T00:00:00|  1687.39800|   1637.66000|  1708.00000|  2015-01-22| 2.5760
BRUTUS6984_2|00033539039|12 48 14.19|17 47 10.6|2015-04-02T02:04:58|2015-04-12T00:00:00|  1599.65100|   1566.59700|  1613.00000|  2015-04-13| 0.7767
BRUTUS6984_2|00033539068| 12 48 10.9|17 47 11.6|2015-08-12T20:43:58|2015-08-22T00:00:00|  2391.03300|   2353.87400|  2402.00000|  2015-08-23| 1.4358
